章名称,名称cn,级别,名称jp,AP,1敌人1,1敌人2,1敌人3,2敌人1,2敌人2,2敌人3,3敌人1,3敌人2,3敌人3
狩猎关卡 第8弹,蛇女·狩猎,典位级,ラミア・ハント_典位級,40,敌人1|那伽||术|49|45085,敌人1|蛇女||术|57|33589,敌人1|蛇女||术|57|31989,敌人1|蛇女||术|58|48658,敌人1|蛇女||术|58|47527,敌人1|那伽||术|50|47527,敌人2|破坏兽||术|90|93265,敌人2|蛇女女王||术|64|201405,敌人1|蛇女||术|59|60400
狩猎关卡 第8弹,蛇女·狩猎,典位+级,ラミア・ハント_典位+級,40,敌人1|蛇女||术|68|70537,敌人1|那伽||术|58|80892,敌人1|蛇女||术|68|69584,敌人2|破坏兽||术|90|117808,敌人1|那伽||术|59|87210,,,敌人2|蛇女女王||术|83|256134,
狩猎关卡 第8弹,凝视者·狩猎,开位级,ゲイザー・ハント_開位級,30,敌人1|看守||剑|76|14769,敌人1|看守||剑|76|15270,敌人1|看守||剑|75|15374,敌人1|看守||剑|78|24821,敌人1|看守||剑|78|25416,敌人1|看守||剑|77|25361,敌人2|破坏兽||剑|90|56098,敌人1|看守||剑|79|37447,敌人2|观察机||剑|66|135307
狩猎关卡 第8弹,凝视者·狩猎,祭位级,ゲイザー・ハント_祭位級,35,敌人1|看守||剑|76|22667,敌人1|看守||剑|76|22191,敌人1|看守||剑|75|22535,敌人1|看守||剑|78|34990,敌人1|看守||剑|78|37155,敌人1|看守||剑|77|35789,敌人1|看守||剑|79|62379,敌人1|看守||剑|79|60992,敌人2|观察机||剑|66|183355
狩猎关卡 第8弹,凝视者·狩猎,典位级,ゲイザー・ハント_典位級,40,敌人1|看守||剑|76|33818,敌人1|看守||剑|76|35428,敌人1|看守||剑|75|34030,敌人1|看守||剑|78|44571,敌人1|看守||剑|78|44736,敌人1|看守||剑|77|43863,敌人2|破坏兽||剑|90|89338,敌人1|看守||剑|79|68511,敌人2|观察机||剑|66|221017
狩猎关卡 第8弹,凝视者·狩猎,典位+级,ゲイザー・ハント_典位+級,40,敌人1|看守||剑|88|81611,,,敌人2|破坏兽||剑|90|118790,,敌人1|看守||剑|89|90937,敌人2|观察机||剑|72|187644,,敌人2|观察机||剑|72|176922
狩猎关卡 第8弹,守护者·狩猎,开位级,スプリガン・ハント_開位級,30,敌人1|斩首鸡||狂|42|17024,敌人1|斩首鸡||狂|41|23461,敌人1|斩首鸡王||狂|30|17155,敌人1|斩首鸡王||狂|31|31368,敌人1|斩首鸡||狂|43|21994,敌人1|斩首鸡||狂|43|22402,敌人1|斩首鸡王||狂|32|39077,敌人1|斩首鸡||狂|44|29523,敌人2|青铜守护者||狂|58|123030
狩猎关卡 第8弹,守护者·狩猎,祭位级,スプリガン・ハント_祭位級,35,敌人1|斩首鸡||狂|42|33501,敌人1|斩首鸡||狂|41|22090,敌人1|斩首鸡王||狂|30|22600,敌人1|斩首鸡王||狂|31|34251,敌人1|斩首鸡||狂|43|43681,敌人1|斩首鸡||狂|43|33202,敌人2|破坏兽||狂|88|68174,敌人1|斩首鸡||狂|44|53868,敌人2|青铜守护者||狂|58|178481
狩猎关卡 第8弹,守护者·狩猎,典位级,スプリガン・ハント_典位級,40,敌人1|斩首鸡||狂|42|35096,敌人1|斩首鸡||狂|41|35513,敌人1|斩首鸡王||狂|30|43605,敌人1|斩首鸡王||狂|31|54985,敌人1|斩首鸡||狂|43|38469,敌人1|斩首鸡||狂|43|40606,敌人2|破坏兽||狂|88|88351,敌人1|斩首鸡||狂|44|52447,敌人2|青铜守护者||狂|58|214036
狩猎关卡 第8弹,守护者·狩猎,典位+级,スプリガン・ハント_典位+級,40,敌人1|斩首鸡||狂|51|68226,,敌人1|斩首鸡||狂|51|73280,,敌人1|斩首鸡王||狂|38|110594,,敌人2|破坏兽||狂|90|119772,,敌人2|青铜守护者||狂|63|271305
狩猎关卡 第8弹,伟大那伽·狩猎,开位级,マハーナーガ・ハント_開位級,30,敌人1|从者庆典参加者||枪|85|15535,敌人1|从者庆典参加者||枪|85|16098,敌人1|从者庆典参加者||枪|84|16449,敌人1|从者庆典参加者||枪|87|25602,敌人1|从者庆典参加者||枪|86|24821,敌人1|从者庆典参加者||枪|87|24216,敌人1|从者庆典参加者||枪|88|34462,敌人1|从者庆典参加者||枪|88|36924,敌人2|伟大那伽||枪|61|134146
狩猎关卡 第8弹,伟大那伽·狩猎,祭位级,マハーナーガ・ハント_祭位級,35,敌人1|从者庆典参加者||枪|85|28719,敌人1|从者庆典参加者||枪|85|31348,敌人1|从者庆典参加者||枪|84|29856,敌人1|从者庆典参加者||枪|87|37112,敌人1|从者庆典参加者||枪|86|38370,敌人1|从者庆典参加者||枪|87|39137,敌人1|从者庆典参加者||枪|88|50531,敌人1|从者庆典参加者||枪|88|53640,敌人2|伟大那伽||枪|61|180342
狩猎关卡 第8弹,伟大那伽·狩猎,典位级,マハーナーガ・ハント_典位級,40,敌人1|从者庆典参加者||枪|85|34947,敌人1|从者庆典参加者||枪|85|35037,敌人1|从者庆典参加者||枪|84|33315,敌人1|从者庆典参加者||枪|87|47756,敌人1|从者庆典参加者||枪|86|44965,敌人1|从者庆典参加者||枪|87|48675,敌人2|破坏兽||枪|90|98174,敌人1|从者庆典参加者||枪|88|60810,敌人2|伟大那伽||枪|61|222363
狩猎关卡 第8弹,伟大那伽·狩猎,典位+级,マハーナーガ・ハント_典位+級,40,,敌人1|从者庆典参加者||枪|88|86341,,敌人2|破坏兽||枪|90|122717,敌人1|从者庆典参加者||枪|89|93840,敌人1|从者庆典参加者||枪|90|104324,,敌人2|伟大那伽||枪|67|266716,
